Subject,Group
s1,NonMusician
s2,NonMusician
s3,NonMusician
s4,NonMusician
s5,NonMusician
s6,NonMusician
s7,NonMusician
s8,NonMusician
s9,NonMusician
s10,NonMusician
s11,NonMusician
s12,NonMusician
s13,NonMusician
s14,NonMusician
s15,NonMusician
s16,NonMusician
s17,NonMusician
s18,NonMusician
s19,NonMusician
s20,NonMusician
s21,NonMusician
s22,NonMusician
s23,NonMusician
s24,Musician
s25,Musician
s26,Musician
s27,Musician
s28,Musician
s29,Musician
s30,Musician
s31,Musician
s32,Musician
s33,Musician
s34,Musician
s35,Musician
s36,Musician
