Subject,auditory,visual
s1,226.27,255.53
s2,187.52,309.43
s3,279.77,363.5
s4,233.83,378.66
s5,180.83,267.97
s6,178.23,288.1
s7,193.69,301.48
s8,202.04,288.68
s9,355.93,388.87
s10,340.03,291.67
s11,259.7,319.33
s12,416.57,332.33
s13,392.18,496.63
s14,199.8,238
s15,269.45,240.5
s16,237.36,313.57
s17,458.59,396.17
s18,160.82,276.1
s19,167.92,236.68
s20,152.72,311.68
s21,180.36,232.5
s22,181.08,235.9
s23,162.33,235.52
s24,89.4,265.3
s25,110.67,271.113
s26,248.58,316.5
s27,131.68,247.66
s28,231.58,254.11
s29,253.5,327.5
s30,89.86,296.17
s31,136.64,285.97
s32,144.81,239
s33,162.72,194.93
s34,176.63,224.6
s35,180.22,240.93
s36,197.61,234.95
